items,type
diapers,compost
makeup wipes,garbage
gum,garbage
gift wrapping paper,recycle
pet waste,compost
cigarette butts,garbage
plastic beverage bottles,recycle
hot beverage cups,garbage
black plastic containers,garbage
milk bags,recycle
VHS tapes,garbage
electrical cords,garbage
batteries,other
shampoo bottles,recycle
candy wrappers,garbage
toilet paper rolls,recycle
clothing,garbage
paper muffin cups,compost
bubble wrap,garbage
screwdriver,garbage
tissue paper,compost
toothpaste bottle,garbage
kettle,garbage
toaster,garbage
computer,other
coffee grounds,compost
Tea bags,compost
aluminum trays,recycle
pots and pans,garbage
glass bottles,recycle
plastic toys,garbage
mirrors,garbage
banana,compost
metal clothes hanger,garbage
plastic shopping bags,recycle
vegetables,compost
syringes,other
hair,garbage
wax,garbage
dishes,garbage
paper envelopes,recycle
light bulbs,garbage
hardcover books,recycle
egg cartons,recycle
chip bags,garbage
glass cups,garbage
